name,address,dong,latitude,longitude,category
임페리아,서울특별시 중구 마른내로 161,광희동,37.5647444444436,127.005918082856,식료품점
지구촌유통,서울특별시 서초구 동작대로 164,방배본동,37.4912764312812,126.983043532058,수산물소매
신가네고깃간5호점,서울특별시 양천구 곰달래로13길 31-1,신월1동,37.5325457638419,126.835849078939,육류소매
동혁한미축산,서울특별시 송파구 성내천로 114,오금동,37.4994854800913,127.14082449495,육류소매
근영유통,서울특별시 마포구 창전로2길 27,신수동,37.5490491643262,126.933732157514,식료품점
대아청과,서울특별시 강서구 남부순환로19길 59,발산1동,37.5468959540553,126.824603694378,청과물소매
문화식품,서울특별시 영등포구 영등포로53길 41,영등포동,37.5215480759068,126.908930211503,식료품점
고려H&H센터,서울특별시 중구 장충단로 205,장충동,37.5630924250737,127.006619180232,식료품점
경북청과,서울특별시 서대문구 수색로 36,남가좌1동,37.5699455559553,126.915084519083,청과물소매
쌍용반찬,서울특별시 송파구 동남로 193,가락2동,37.4946564991978,127.129842372307,식료품점
홍제상회,서울특별시 중구 남대문시장4길 21,회현동,37.5591777824993,126.977639243073,식료품점
삼진유통,서울특별시 광진구 아차산로59길 48,구의3동,37.5404785681395,127.090802613198,수산물소매
경동약초,서울특별시 동대문구 왕산로 129,제기동,37.5783805536363,127.037855679379,청과물소매
한우,서울특별시 노원구 한글비석로48길 25,상계5동,37.6654400575214,127.067177875585,육류소매
상현유통,서울특별시 마포구 성미산로11길 122,성산1동,37.5660583801858,126.915661595031,수산물소매
동원양곡,서울특별시 중랑구 상봉로11길 44,면목본동,37.5898759235165,127.091039966484,청과물소매
논골정육점,서울특별시 서대문구 연희로41가길 111,홍은2동,37.5935743252294,126.934274827326,육류소매
인덕청과,서울특별시 노원구 월계로 337-1,월계2동,37.6299075330155,127.057516469291,청과물소매
우리정육점,서울특별시 노원구 상계로23다길 13-8,상계2동,37.6599960916627,127.069240754228,육류소매
동원에프앤비지엔씨영동세,서울특별시 강남구 언주로 211,도곡1동,37.4927951351961,127.046293864724,식료품점
일동강서,서울특별시 양천구 화곡로3가길 9,신월5동,37.541699437222,126.828476035888,식료품점
과일야채,서울특별시 성북구 동소문로 257,길음1동,37.6041317536157,127.024613230073,청과물소매
서울청과,서울특별시 영등포구 도신로60길 10,신길1동,37.51097223327,126.917024591252,청과물소매
일조F&V,서울특별시 강동구 고덕로10길 50,암사1동,37.5525195806287,127.129453010521,청과물소매
보경식품,서울특별시 강북구 도봉로 211,미아동,37.6274931074519,127.025395590847,식료품점
조흥정육점,서울특별시 성북구 화랑로25길 27,월곡2동,37.6096588327766,127.051599278403,육류소매
우리동네정육점,서울특별시 금천구 시흥대로 163,시흥1동,37.4484671568404,126.902454296083,육류소매
1박2일,서울특별시 중랑구 겸재로24길 36,면목5동,37.5854442113259,127.081911275162,수산물소매
초록마을,서울특별시 강남구 개포로82길 9-15,개포2동,37.4889695207103,127.068234669775,유기농식품판매
형제푸줏간,서울특별시 서초구 고무래로8길 6,반포4동,37.5024646994919,127.010295730221,육류소매
우이정육점,서울특별시 강북구 삼양로163길 7,우이동,37.6585499443023,127.01325948852,육류소매
선&산상사,서울특별시 중구 을지로30길 47,광희동,37.5650113111816,126.999111591337,수산물소매
푸드뱅크BK,서울특별시 강북구 인수봉로 260,인수동,37.6419436808766,127.0110770034,청과물소매
대지식품,서울특별시 도봉구 덕릉로60길 109-7,창3동,37.6357775804317,127.04238456342,식료품점
홍이뜰,서울특별시 영등포구 도영로 2-11,대림3동,37.5063228359451,126.894651898145,청과물소매
대원상회,서울특별시 송파구 충민로4길 5,장지동,37.4795719014818,127.129734656463,식료품점
황씨청과일,서울특별시 도봉구 도당로13가길 8,방학2동,37.6655766706311,127.035983132203,청과물소매
한우물농산물,서울특별시 관악구 법원단지길 94,난곡동,37.4745006866723,126.922265537034,청과물소매
명성유통,서울특별시 강동구 아리수로72길 60-27,고덕2동,37.5610334732249,127.162948433602,식료품점
야채,서울특별시 성북구 장월로33길 5-22,장위1동,37.6184330496388,127.050241808895,청과물소매
북청상사,서울특별시 강동구 아리수로78길 43-10,고덕2동,37.5605014628486,127.164165499812,식료품점
경원나루,서울특별시 구로구 남부순환로 1291,가리봉동,37.4788827841689,126.894310012952,청과물소매
정읍농축산물직판장,서울특별시 금천구 시흥대로58길 26,시흥1동,37.4536499214702,126.902638521962,수산물소매
석신식품2호,서울특별시 성동구 마장로37길 55,마장동,37.5702841811347,127.04167286956,육류소매
포천농장,서울특별시 강북구 인수봉로78길 5,인수동,37.6445662484163,127.011144217918,육류소매
초록마을,서울특별시 송파구 양재대로 1222,오륜동,37.5157231511018,127.131045765864,유기농식품판매
법인진명축산,서울특별시 성동구 청계천로10가길 14,마장동,37.5699102148451,127.0333799922,육류소매
한살림생협봉천매장,서울특별시 관악구 양녕로 74,성현동,37.4885705315387,126.946736967197,유기농식품판매
세화유통,서울특별시 중구 을지로32길 34,광희동,37.565280640479,127.0000588186,수산물소매
땅과바다건어물,서울특별시 관악구 관천로 27-1,신원동,37.4822175154964,126.927638499408,수산물소매
삼광상회,서울특별시 영등포구 영신로 130,영등포동,37.519134271717,126.901261650884,식료품점
명품닭집,서울특별시 강서구 강서로16길 14,화곡8동,37.5327096944312,126.847047722784,육류소매
새서울청과,서울특별시 성북구 장월로1길 69,월곡2동,37.6053569941068,127.044416886295,청과물소매
롯데칠성신구로대리점델몬트,서울특별시 구로구 구일로8길 131,구로1동,37.4985310323902,126.876739870045,식료품점
현경,서울특별시 마포구 월드컵로 235,성산2동,37.565187393384,126.898468863512,청과물소매
승민이네과일,서울특별시 구로구 개봉로3길 69,개봉3동,37.4860152235629,126.852333895569,청과물소매
협진37호,서울특별시 금천구 범안로 1209,독산1동,37.4668179719467,126.896262531894,육류소매
원일,서울특별시 서대문구 통일로40안길 3-10,홍제3동,37.5910800441591,126.943470919347,육류소매
대한양곡,서울특별시 도봉구 우이천로4라길 34,창3동,37.6325942204558,127.042051536584,청과물소매
협진30호,서울특별시 금천구 범안로 1209,독산1동,37.4668179719467,126.896262531894,육류소매
협진93호,서울특별시 금천구 범안로 1209,독산1동,37.4668179719467,126.896262531894,육류소매
평창농산,서울특별시 종로구 평창11길 8-4,평창동,37.6065335670428,126.966968227298,청과물소매
국가대표FARMERSMA,서울특별시 동작구 장승배기로 38,상도2동,37.5014958966757,126.94117199548,청과물소매
성미식품,서울특별시 종로구 창경궁로 88,종로1.2.3.4가동,37.5700702891715,126.999598582226,식료품점
안양축산물도매,서울특별시 금천구 시흥대로18길 16,시흥3동,37.4402598894781,126.904540461357,육류소매
마포의료생협의원,서울특별시 마포구 월드컵로 80,서교동,37.5561979028244,126.91042846705,유기농식품판매
한마음,서울특별시 성동구 금호로16길 25-35,금호1가동,37.55663857682,127.020354514797,청과물소매
협진53호,서울특별시 금천구 범안로 1209,독산1동,37.4668179719467,126.896262531894,육류소매
협진69호,서울특별시 금천구 범안로 1209,독산1동,37.4668179719467,126.896262531894,육류소매
씨제이,서울특별시 동대문구 왕산로 214,전농1동,37.584191612425,127.051129904848,식료품점
홍주청과,서울특별시 강서구 강서로12길 10,화곡8동,37.5314992198211,126.847654693621,청과물소매
협진83호,서울특별시 금천구 범안로 1209,독산1동,37.4668179719467,126.896262531894,육류소매
이가유통,서울특별시 중구 퇴계로85길 15,황학동,37.566461991738,127.019512743054,식료품점
피제이통상,서울특별시 성북구 정릉로26가길 12,정릉2동,37.6028046691061,127.012388106907,청과물소매
협진84호,서울특별시 금천구 범안로 1209,독산1동,37.4668179719467,126.896262531894,육류소매
퍼니타임,서울특별시 강서구 강서로41길 45,화곡3동,37.544047756341,126.835421283507,식료품점
한성농산,서울특별시 강북구 인수봉로 198,인수동,37.6372851983568,127.013212204691,청과물소매
만나식품,서울특별시 중구 을지로36길 35,광희동,37.5650528062903,127.001884284467,식료품점
협진72호,서울특별시 금천구 범안로 1209,독산1동,37.4668179719467,126.896262531894,육류소매
